,Conv,GaphEnhance,Truth,Prediction
32,37,['sheriff_brianmobley'],['agentrickculpepper'],['sheriff_brianmobley']
33,38,"['sheriff_brianmobley', 'sheriff_brianmobley']","['grissom', 'sheriffbrianmobley']","['sheriff_brianmobley', 'sheriff_brianmobley']"
34,39,"['brass', 'grissom', 'grissom', 'nick']","['catherine', 'grissom', 'nick', 'warrick']","['grissom', 'nick', 'warrick', 'warrick']"
35,40,"['catherine', 'grissom']","['catherine', 'grissom']","['brass', 'catherine']"
36,41,"['grissom', 'nick', 'warrick']","['grissom', 'nick', 'sara', 'warrick']","['grissom', 'nick', 'warrick', 'warrick']"
37,42,"['gregsanders', 'gregsanders']","['catherine', 'gregsanders']","['gregsanders', 'gregsanders']"
38,43,"['catherine', 'grissom', 'hunter_baumgartner']","['catherine', 'grissom', 'hunterbaumgartner']","['catherine', 'grissom', 'hunter_baumgartner']"
39,44,"['grissom', 'sara', 'warrick']","['grissom', 'sara', 'warrick']","['grissom', 'sara', 'warrick']"
40,45,"['agent_rickculpepper', 'nick']","['grissom', 'nick']","['agent_rickculpepper', 'nick']"
41,46,"['agent_rickculpepper', 'grissom']","['agentrickculpepper', 'nick']","['agent_rickculpepper', 'grissom']"
42,47,"['male_shopper', 'sydgoggle']","['grissom', 'nick', 'sydgoggle']","['male_shopper', 'nick', 'sydgoggle']"
43,48,"['grissom', 'sydgoggle']","['grissom', 'sydgoggle']","['grissom', 'sydgoggle']"
44,49,"['hunter_baumgartner', 'male_shopper', 'male_shopper']","['agentrickculpepper', 'catherine', 'grissom']","['hunter_baumgartner', 'male_shopper', 'male_shopper']"
45,51,['sheriff_brianmobley'],['sheriffbrianmobley'],['sheriff_brianmobley']
46,52,"['brass', 'nick', 'sara', 'warrick']","['grissom', 'nick', 'sara', 'warrick']","['brass', 'nick', 'sara', 'warrick']"
47,53,"['grissom', 'sara']","['catherine', 'grissom']","['grissom', 'sara']"
48,54,"['hunter_baumgartner', 'hunter_baumgartner', 'male_shopper', 'nick']","['catherine', 'grissom', 'nick', 'sara']","['hunter_baumgartner', 'hunter_baumgartner', 'male_shopper', 'nick']"
